Borrower Number,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
48,4,3,1,7,4,5,5,7,2,7
49,3,4,5,6,5,2,3,8,8,1
50,3,8,7,3,2,5,5,4,5,5
51,8,6,5,6,1,2,8,5,1,5
52,1,1,6,1,2,8,7,4,7,7
53,4,2,1,5,6,3,6,7,3,4
54,7,7,5,4,7,2,6,8,7,7
55,8,2,7,5,4,7,6,3,6,7
56,5,8,4,3,1,6,7,5,3,4
57,3,6,7,3,7,8,3,2,7,3
58,5,5,1,5,8,2,6,6,2,3
59,2,3,1,4,2,1,1,4,6,8
60,8,3,6,3,8,5,5,1,4,7
61,1,7,5,5,6,8,2,4,4,7
62,7,7,7,2,5,7,2,5,4,8
63,4,8,1,3,2,6,2,4,3,2
64,5,8,5,8,2,1,3,8,5,3
65,8,7,6,4,5,5,3,3,8,4
66,4,6,2,8,8,7,6,1,4,8
67,5,4,4,5,2,7,8,5,1,5
68,7,3,7,8,2,3,6,2,5,4
69,4,5,8,8,4,3,5,8,7,7
70,3,5,3,3,5,4,6,8,4,1
71,5,2,8,2,4,4,1,4,1,8
72,8,3,8,2,3,7,7,4,1,1
73,7,7,7,4,7,7,8,1,6,4
74,3,7,2,5,2,7,8,7,7,8
75,1,5,1,2,1,2,6,8,1,1
76,6,4,3,3,2,2,8,5,2,1
77,1,6,4,7,8,1,6,2,3,2
78,6,8,7,1,5,7,6,7,6,3
79,4,5,7,6,4,1,5,8,6,2
80,4,7,2,1,1,3,4,1,5,1
81,5,6,5,7,8,4,1,2,3,4
82,2,7,6,6,8,1,7,2,5,1
83,4,4,3,1,8,3,5,5,8,5
84,1,7,5,8,7,8,6,5,2,6
85,7,8,1,6,5,1,8,1,7,1
86,3,3,2,3,7,7,1,2,1,5
87,7,6,4,6,6,8,1,6,8,2
88,5,4,2,6,2,1,2,1,3,3
89,1,3,7,1,3,3,7,6,8,7
90,4,6,4,4,1,7,2,8,7,7
91,4,8,7,6,6,2,5,1,2,4
92,4,3,2,8,5,7,7,4,7,1
93,7,6,5,8,2,1,6,8,6,7
94,4,6,1,6,8,5,1,5,7,3
95,2,5,8,7,2,6,1,4,1,3
96,5,6,8,8,5,7,4,5,3,7
97,5,5,1,4,3,5,7,5,8,7
98,4,1,6,8,5,7,8,4,1,4
99,4,6,8,1,8,1,5,8,4,4
100,7,7,7,2,8,3,6,3,4,7
101,5,2,7,1,1,4,4,2,4,2
102,4,7,2,4,1,6,1,2,3,2
103,2,7,3,4,8,8,5,2,6,6
104,2,5,2,6,5,8,6,2,1,5
105,3,2,8,8,8,6,2,3,1,6
106,5,5,7,4,3,3,7,7,2,8
107,4,5,4,2,3,3,8,6,6,7
108,1,7,7,1,5,8,4,8,3,3
109,8,5,5,7,4,1,8,5,1,1
110,6,8,8,8,5,7,5,1,5,8
111,6,8,5,1,8,8,2,4,8,2
112,2,7,4,7,8,2,6,8,1,7
113,1,6,1,1,5,7,1,1,7,2
114,8,4,7,7,1,8,4,6,3,4
115,4,5,6,1,1,8,8,1,3,4
116,3,8,2,6,6,4,4,5,7,5
117,2,7,8,4,5,7,1,4,3,2
118,2,4,7,8,1,1,7,1,8,4
119,5,7,4,1,8,1,1,6,1,6
120,5,1,7,6,7,8,1,7,7,3
121,3,3,4,4,1,5,2,8,3,7
122,2,6,1,4,8,7,5,5,2,5
123,6,3,7,1,4,2,4,4,3,6
124,2,5,8,7,1,1,7,5,7,2
125,1,4,8,2,4,4,4,1,4,8
126,1,3,3,2,6,1,8,3,8,4
127,8,8,8,5,1,8,4,3,8,1
128,7,2,6,3,5,1,2,6,2,2
129,6,8,7,4,3,5,6,5,5,7
130,4,3,8,3,2,7,7,4,2,6
131,5,6,7,7,3,1,4,7,4,7
132,6,1,5,2,3,7,8,5,5,1
133,5,7,8,5,2,4,3,1,4,6
134,1,6,8,3,2,3,5,1,1,2
135,2,8,2,5,2,2,2,7,6,4
136,5,5,2,4,6,2,3,1,7,8
137,8,6,8,3,8,6,7,4,5,2
138,5,6,6,3,4,8,8,5,3,7
139,5,3,2,2,8,6,6,2,6,2
140,2,2,7,3,4,6,6,7,7,7
141,6,6,5,8,8,5,7,1,7,5
142,7,2,1,2,6,1,4,8,5,3
143,6,6,3,7,3,7,2,3,3,2
144,2,4,8,4,8,4,5,8,6,3
145,2,4,8,6,1,6,6,5,2,3
146,7,3,5,4,8,4,4,6,4,1
147,2,8,2,2,8,6,3,1,1,3
148,2,2,5,1,1,4,6,5,2,1
149,6,6,1,8,4,4,5,7,8,2
150,4,4,8,8,8,3,8,4,5,6
151,7,6,8,3,6,6,8,7,1,7
152,6,7,4,3,7,6,5,6,2,2
153,1,4,2,3,4,6,5,1,7,1
154,8,1,7,3,3,8,5,2,8,8
155,2,8,4,5,7,6,6,7,5,6
156,7,1,8,3,5,3,6,2,4,2
157,8,6,4,8,3,3,1,5,3,7
158,7,1,3,1,4,8,4,1,6,8
159,4,4,6,6,1,4,2,8,7,7
160,2,5,8,8,1,8,4,3,2,1
161,5,7,6,2,8,2,8,4,8,5
162,3,2,1,3,6,2,5,7,7,8
163,7,3,4,2,3,6,1,1,3,3
164,2,6,2,6,2,2,7,7,4,2
165,2,7,2,2,4,4,8,8,7,3
166,8,7,5,2,4,5,3,6,2,2
167,6,5,5,2,8,1,1,2,1,1
168,4,3,6,2,2,6,4,7,1,2
169,4,2,6,8,2,8,3,7,4,7
170,6,1,2,5,1,7,2,7,1,1
171,8,3,6,4,7,7,6,2,7,8
172,8,2,2,1,5,4,1,1,4,2
173,3,4,1,7,4,6,2,7,6,5
174,4,2,5,3,5,6,4,8,7,5
175,6,6,8,6,4,5,2,4,4,8
176,3,2,4,8,5,3,5,5,4,3
177,3,2,2,5,3,6,1,8,3,7
178,5,3,2,3,6,4,5,3,8,5
179,6,4,4,4,6,3,1,6,2,1
180,8,2,5,5,3,6,7,7,8,3
181,6,2,8,3,1,4,2,1,4,8
182,3,2,8,6,5,2,7,7,3,3
183,6,6,1,8,5,6,7,8,6,4
184,1,1,1,5,1,6,6,8,6,2
185,5,6,6,3,5,3,2,3,6,1
186,4,4,3,1,1,1,2,6,7,3
187,1,6,3,6,5,2,2,8,3,3
188,8,1,3,1,6,1,3,5,7,6
189,3,7,5,7,7,1,4,5,6,4
190,3,6,4,3,5,6,4,1,5,8
191,7,4,5,2,6,5,2,4,6,7
192,4,1,2,7,3,3,3,2,5,7
193,5,5,8,5,2,8,5,6,1,6
194,4,1,1,2,7,3,8,8,2,8
195,4,5,8,8,7,7,3,8,5,5
196,5,7,7,5,5,1,4,2,2,2
197,6,6,3,5,5,5,5,7,1,8
198,3,6,6,2,4,5,6,5,7,3
199,8,4,6,5,7,7,1,2,2,4
200,5,7,2,3,3,4,3,7,1,6
201,3,2,7,5,4,3,2,4,3,6
202,6,4,4,1,3,4,1,1,1,7
203,5,4,1,2,6,7,6,7,4,6
204,7,5,1,4,6,6,5,1,8,3
205,5,6,4,8,3,6,5,7,8,7
206,1,6,4,2,7,2,4,2,4,5
207,4,7,7,7,4,7,8,5,3,6
208,4,1,2,1,1,1,6,5,3,4
209,1,3,4,4,2,5,6,8,8,8
210,7,8,3,6,8,2,2,1,1,2
211,8,8,1,1,8,8,3,6,8,8
212,2,3,5,4,8,2,4,2,2,7
213,6,6,1,6,7,1,5,3,5,1
214,6,1,6,2,5,3,2,6,3,7
215,6,1,2,7,4,4,1,5,7,3
216,2,8,2,5,1,2,5,5,5,5
217,5,5,7,3,2,3,6,3,4,3
218,2,3,2,3,5,3,7,1,8,1
219,8,1,4,5,2,5,1,6,4,3
220,1,1,5,1,7,1,3,7,2,8
221,3,5,6,1,5,2,2,5,3,5
222,3,6,4,4,6,8,6,7,1,4
223,6,3,3,7,5,1,6,3,7,6
224,5,1,1,8,1,1,1,2,5,8
225,1,8,6,2,2,7,3,1,4,5
226,3,3,6,4,1,5,8,3,2,1
227,7,3,5,5,4,1,8,8,3,1
228,7,8,3,6,3,4,7,1,2,3
229,4,8,3,2,6,4,8,4,1,8
230,4,6,1,5,3,7,4,2,4,5
231,2,6,1,1,8,8,5,6,3,4
232,6,4,2,1,6,1,5,4,8,3
233,3,4,8,5,1,1,8,1,8,2
234,2,5,6,5,2,8,6,3,8,5
235,7,5,6,7,8,2,2,8,2,3
236,2,1,5,2,1,2,8,2,1,8
237,4,2,8,1,5,6,4,2,8,5
238,8,7,2,4,4,7,8,2,5,5
239,8,8,2,7,5,6,5,7,1,8
240,7,7,8,7,1,8,1,8,7,2
241,3,2,6,2,5,2,6,3,1,3
242,7,5,2,3,5,3,3,5,3,8
243,2,4,6,1,5,2,6,5,8,8
244,2,6,7,5,8,4,4,2,6,1
245,5,8,8,1,8,5,4,4,6,2
246,1,8,6,4,1,2,8,2,5,2
247,3,2,7,4,5,3,6,5,8,4
248,5,1,2,8,6,3,1,7,1,5
249,4,7,7,6,2,3,4,8,6,6
250,3,7,3,6,7,8,5,7,1,4
251,4,3,7,6,2,5,3,5,3,7
252,2,4,1,7,6,2,2,4,1,7
253,6,5,8,2,6,1,1,2,2,4
254,6,1,6,4,4,7,7,7,8,1
255,2,7,3,3,3,2,1,8,2,5
256,5,7,2,8,6,2,1,4,8,5
257,5,6,4,8,7,7,6,1,8,5
258,6,4,4,8,2,1,5,7,1,5
259,8,7,3,3,8,1,8,1,1,3
260,2,4,6,5,5,2,1,5,8,2
261,5,8,3,3,1,8,2,6,6,6
262,4,4,2,7,6,5,7,3,6,4
263,4,6,6,7,8,8,5,5,8,8
264,5,7,6,5,4,1,3,3,6,2
265,2,4,2,1,8,4,8,7,7,3
266,3,6,8,1,4,5,6,5,7,5
267,5,6,4,6,6,3,6,5,8,7
268,7,8,2,1,5,6,8,5,2,6
269,8,4,1,6,4,2,5,8,1,1
270,8,8,3,6,3,4,6,6,1,5
271,7,1,4,5,5,1,5,6,4,5
272,7,6,1,5,3,5,4,7,6,1
273,6,3,2,6,7,3,1,1,3,6
274,4,1,2,8,5,4,8,5,8,5
275,4,7,2,4,7,5,8,1,6,7
276,4,6,3,2,1,3,6,6,8,6
277,8,1,6,3,7,2,8,1,4,8
278,1,2,6,3,1,5,6,4,1,6
279,3,8,8,3,5,3,5,1,6,8
280,4,7,8,8,4,3,1,1,7,8
281,2,8,1,5,6,4,4,8,8,4
282,2,2,6,1,7,8,7,6,4,3
283,4,1,8,8,2,6,2,6,4,3
284,8,4,6,5,2,2,8,1,4,1
285,2,6,7,5,7,7,6,7,2,4
286,3,7,6,3,6,3,7,5,6,8
287,4,5,7,2,7,2,3,7,5,7
288,2,1,2,6,1,1,8,7,2,6
289,6,1,3,6,2,7,4,7,7,2
290,7,3,8,8,6,7,6,6,2,8
291,4,2,4,6,1,5,1,1,2,3
292,2,7,4,1,3,4,8,3,8,7
293,1,5,3,5,1,8,2,6,4,8
294,7,4,1,5,5,1,5,3,4,8
295,5,1,6,8,8,7,7,2,2,1
296,8,6,2,4,4,5,3,2,4,1
297,5,6,2,4,1,7,5,4,5,2
298,7,7,1,7,1,5,1,8,6,6
299,7,3,7,5,8,3,7,8,6,8
300,8,3,3,4,2,6,3,6,3,1
301,4,3,8,3,5,4,1,6,4,7
302,7,3,6,1,3,2,6,1,6,8
303,2,8,5,5,6,8,4,6,8,6
304,4,2,5,1,7,4,2,5,3,7
305,5,1,5,3,5,6,8,3,3,5
306,3,5,3,7,2,5,6,1,4,5
307,8,5,7,7,1,8,6,7,6,3
308,3,1,2,3,3,2,3,7,3,2
309,5,8,3,3,6,4,8,3,2,3
310,4,7,7,1,5,3,3,5,3,8
311,7,8,6,2,8,3,7,3,3,7
312,5,5,3,7,4,7,4,1,1,2
313,7,8,2,8,6,6,5,4,3,7
314,1,7,7,6,7,7,1,2,7,7
315,1,5,3,7,8,6,3,5,6,7
316,5,7,5,5,2,1,5,1,1,3
317,8,5,8,7,4,7,2,6,6,5
318,2,6,2,1,2,8,6,5,5,5
319,8,1,6,3,1,1,4,7,6,2
320,7,5,6,6,8,8,2,8,5,8
321,5,2,6,3,5,8,8,1,7,3
322,1,5,7,2,6,3,4,2,1,7
323,3,7,2,1,6,4,3,7,6,4
324,6,7,6,5,3,8,8,3,6,4
325,7,6,8,5,3,4,4,1,8,2
326,1,3,2,6,3,4,5,1,3,2
327,3,7,2,3,8,3,7,8,4,3
328,7,5,6,5,2,3,5,1,6,5
329,3,5,1,1,1,4,3,5,2,7
330,4,3,4,2,1,3,3,6,1,4
331,6,8,4,8,2,5,2,3,6,3
332,6,5,2,4,7,6,2,4,5,3
333,1,3,6,6,8,8,6,2,5,6
334,3,5,2,2,1,7,7,5,1,3
335,7,1,7,6,6,1,2,2,5,3
336,5,6,5,2,1,4,3,4,4,8
337,1,8,4,7,4,7,2,5,5,5
338,1,6,4,2,3,4,2,4,7,6
339,1,1,3,1,3,4,5,8,3,5
340,8,3,8,4,8,5,6,8,1,7
341,2,3,5,4,8,1,7,2,8,8
342,1,7,3,8,6,6,8,8,3,8
343,4,3,4,5,4,3,6,6,2,1
344,7,1,7,8,8,2,2,7,1,1
345,3,4,7,7,7,2,8,6,1,2
346,3,7,5,1,1,4,7,5,6,8
347,5,7,7,2,1,5,1,3,6,3
348,1,4,6,7,8,5,1,1,6,8
349,2,1,1,4,3,4,7,5,3,7
350,5,3,7,3,2,3,4,1,5,6
351,2,2,4,5,5,1,1,4,5,3
352,1,8,8,4,4,7,6,2,8,3
353,2,6,4,6,8,7,3,7,1,2
354,8,4,6,1,4,8,4,2,6,7
355,4,1,7,4,3,6,3,7,6,4
356,8,1,5,7,6,1,1,2,6,1
357,3,4,5,6,1,3,5,3,4,1
358,3,3,2,5,7,8,5,2,6,6
359,7,4,4,4,4,8,2,7,2,4
360,5,4,5,2,1,6,7,1,8,4
361,6,8,6,5,5,4,8,7,7,7
362,2,2,6,4,4,8,4,3,7,7
363,2,5,2,6,7,4,8,7,1,2
364,3,3,4,5,6,3,1,4,4,5
365,6,5,6,7,8,4,1,8,8,7
366,4,7,7,3,5,2,6,6,3,8
367,1,3,5,2,6,6,5,2,8,7
368,8,4,8,4,6,4,2,6,8,7
369,1,6,8,4,1,1,8,7,2,1
370,8,3,6,8,2,3,1,2,4,6
371,3,8,5,8,5,3,7,4,1,7
372,7,3,8,7,1,7,6,3,4,7
373,1,2,3,1,1,1,2,1,2,7
374,7,2,2,8,7,5,4,2,2,5
375,2,1,6,6,5,3,2,6,2,6
376,6,5,2,2,6,3,2,8,1,7
377,1,4,8,2,3,2,8,4,8,1
378,4,1,4,6,6,7,4,6,7,2
379,5,7,7,2,3,4,5,1,7,1
380,7,2,5,6,4,1,6,2,5,5
381,5,7,6,7,8,7,7,3,1,6
382,5,2,4,8,4,3,4,8,1,2
383,4,5,2,1,4,7,4,8,8,4
384,3,1,5,4,4,5,1,8,6,1
385,6,5,5,3,6,4,5,8,3,3
386,8,4,2,4,5,1,3,2,5,8
387,8,7,4,4,4,8,4,1,1,6
388,5,2,1,3,7,8,3,4,2,8
389,1,8,8,1,2,2,2,7,4,1
390,1,3,7,6,3,1,4,1,5,4
391,2,3,4,5,2,6,3,3,2,2
392,3,6,2,5,4,4,2,7,3,3
393,4,3,1,3,3,2,8,4,8,7
394,6,8,8,3,7,4,2,1,5,3
395,7,6,1,8,5,2,1,2,7,7
396,1,1,6,2,2,4,7,2,3,4
397,3,1,1,5,5,3,3,1,3,3
398,2,1,6,8,7,5,5,5,8,1
399,1,4,8,1,4,7,6,6,4,6
400,4,3,2,5,5,4,6,7,5,2
401,1,8,8,3,6,4,7,8,6,6
402,8,7,6,6,3,7,5,3,1,3
403,2,3,5,1,3,6,3,8,7,7
404,1,4,2,7,1,6,6,5,2,5
405,8,7,2,6,7,1,5,2,4,2
406,2,8,6,2,6,6,1,4,3,4
407,2,8,3,5,6,4,7,4,4,7
408,8,4,2,5,6,4,7,4,3,3
409,5,5,2,3,1,7,6,5,7,5
410,7,8,2,1,4,7,4,2,6,4
411,1,3,2,4,5,2,4,8,8,4
412,6,5,3,3,7,3,8,8,3,7
413,6,1,6,4,1,1,6,1,2,2
414,7,1,4,7,7,2,3,7,2,2
415,5,1,6,2,4,5,4,8,6,7
416,8,3,8,1,8,6,2,6,5,2
417,6,1,6,1,7,6,6,3,6,6
418,3,2,1,4,7,5,1,3,3,2
419,2,4,6,4,7,3,2,2,4,2
420,5,4,4,2,1,4,2,4,4,5
421,3,1,6,5,6,2,4,7,7,6
422,8,4,4,2,4,5,5,6,6,6
423,7,2,8,1,2,7,1,6,5,7
424,5,2,6,8,2,8,4,2,1,5
425,5,7,6,1,1,3,3,3,8,2
426,7,2,3,8,2,3,6,2,3,4
427,1,5,8,4,2,5,4,8,5,2
428,6,3,8,6,3,4,1,4,2,8
429,8,2,5,4,6,5,7,3,5,6
430,6,1,7,5,5,7,2,7,7,2
431,4,3,7,7,4,3,2,5,5,7
432,3,1,3,1,7,5,3,6,8,3
433,3,4,7,5,5,3,5,3,6,1
434,4,1,3,2,8,1,5,3,1,4
435,4,2,8,7,2,7,7,4,2,3
436,7,3,6,3,1,6,3,4,7,2
437,2,1,3,1,1,1,1,5,3,5
438,3,5,6,8,2,1,2,5,8,4
439,5,6,4,5,6,7,8,7,4,8
440,8,3,7,1,8,2,5,7,7,8
441,3,5,5,2,6,8,6,8,6,6
442,1,1,1,2,3,2,7,4,6,4
443,8,6,2,7,5,4,2,3,6,4
444,4,4,4,4,6,2,4,3,1,2
445,2,2,3,4,2,3,7,8,4,4
446,5,3,2,7,6,1,4,4,8,4
447,6,8,1,7,1,2,8,4,7,4
448,3,2,7,3,3,5,2,2,3,7
449,1,5,8,1,2,8,1,7,8,6
450,4,6,2,7,7,7,8,3,8,8
451,6,1,5,2,6,6,1,4,3,3
452,5,8,1,8,7,5,5,3,2,4
453,5,1,7,4,8,6,4,5,5,7
454,2,5,1,5,2,4,4,8,7,5
455,4,6,4,2,4,1,3,1,4,7
456,3,5,6,2,5,8,3,3,2,5
457,6,3,5,6,3,5,5,1,2,2
458,6,4,1,2,8,8,4,2,4,7
459,2,1,1,6,6,3,8,5,5,7
460,4,2,2,7,8,7,5,6,4,3
461,4,7,3,5,5,1,6,2,8,4
462,6,8,7,4,2,2,1,5,3,3
463,8,4,8,6,1,4,5,3,8,7
464,8,6,5,3,8,6,2,7,6,4
465,7,2,1,4,1,3,3,3,1,8
466,1,2,2,6,2,4,2,2,3,6
467,1,5,3,3,7,6,6,3,2,6
468,6,2,6,5,1,4,1,4,1,6
469,6,3,5,1,4,5,3,3,6,3
470,3,8,1,5,8,5,4,2,2,3
471,5,8,8,8,7,6,7,7,7,3
472,6,3,2,6,2,7,1,1,8,3
473,4,2,4,4,2,3,1,7,2,4
474,4,4,2,2,1,5,7,1,5,5
475,6,8,7,1,7,7,3,5,1,4
476,8,7,6,7,8,2,4,4,8,3
477,3,5,6,5,5,6,6,4,3,3
478,1,6,7,8,2,1,7,6,4,3
479,6,4,6,4,2,3,5,7,7,5
480,5,4,5,1,3,2,2,3,1,5
481,4,6,2,2,2,3,4,2,5,7
482,4,8,2,8,2,3,1,2,3,5
483,1,5,3,8,8,7,8,8,5,7
484,6,6,1,6,6,1,2,5,1,8
485,7,4,1,2,3,5,4,2,4,5
486,6,4,3,2,6,4,5,5,7,2
487,4,7,4,5,4,3,3,6,7,4
488,1,7,7,7,3,4,5,8,3,2
489,2,8,3,7,7,8,1,4,4,2
490,4,3,3,6,1,5,6,2,5,8
491,5,4,2,2,8,3,5,7,7,7
492,4,1,6,3,2,6,1,6,4,1
493,1,3,2,1,7,3,1,7,6,2
494,4,4,7,6,5,3,2,3,6,7
495,2,1,1,3,4,2,8,8,7,2
496,3,2,8,8,3,2,4,1,4,8
497,7,5,6,3,7,2,2,7,6,5
498,1,5,3,4,2,5,7,5,6,3
499,1,6,3,4,3,1,5,6,1,7
500,1,2,8,7,5,4,7,6,5,1
501,5,3,3,4,5,1,1,1,6,6
502,4,1,8,5,1,8,7,4,1,7
503,2,3,1,8,4,3,8,5,5,3
504,5,8,1,8,1,8,6,7,4,7
505,3,5,3,4,3,4,7,5,8,6
506,5,3,6,2,4,2,5,6,8,7
507,3,5,5,2,1,1,8,8,2,4
508,5,4,5,5,8,3,7,6,8,7
509,2,3,1,1,5,6,1,2,2,2
510,8,6,7,6,8,1,4,4,5,3
511,1,8,1,8,8,2,3,4,8,1
512,8,4,1,4,1,1,4,3,8,7
513,6,5,1,3,1,1,3,1,8,6
514,3,3,4,7,3,1,7,2,4,5
515,1,5,8,8,6,3,4,5,3,7
516,5,1,4,7,7,7,1,8,4,1
517,6,2,5,5,6,3,4,1,7,1
518,2,7,8,8,4,6,3,4,5,8
519,8,7,6,3,5,4,8,2,2,1
520,2,6,5,7,3,2,6,1,2,2
521,3,5,4,5,5,1,5,4,4,1
522,2,5,7,7,2,6,2,5,5,1
523,3,7,7,2,6,8,3,8,7,7
524,2,6,7,1,4,3,7,6,2,2
525,4,7,4,6,7,7,4,6,7,5
526,5,2,8,5,2,3,1,2,6,3
527,3,4,2,3,8,7,6,2,6,1
528,4,7,2,8,3,6,1,8,8,1
529,4,6,4,5,7,7,3,6,7,3
530,4,1,5,5,4,2,4,3,7,3
531,4,5,4,5,4,5,6,3,8,3
532,6,4,6,5,2,6,1,7,8,4
533,7,3,2,6,4,7,1,8,7,1
534,6,2,3,1,6,1,7,7,5,2
535,2,4,5,7,8,7,5,1,5,6
536,2,6,5,3,8,5,6,6,6,3
537,8,1,2,2,8,3,4,8,6,4
538,7,6,6,6,8,7,7,4,3,3
539,4,2,2,5,5,7,6,5,2,1
540,4,1,5,4,2,6,7,2,8,7
541,8,3,3,6,5,2,6,6,6,3
542,7,4,1,4,7,4,1,1,6,4
543,5,5,7,7,7,6,7,6,3,5
544,7,7,5,4,2,8,4,5,5,3
545,5,7,4,3,8,2,3,4,1,4
546,7,1,1,6,1,8,2,8,5,4
547,6,3,4,7,5,5,3,7,8,3
548,7,2,7,8,3,1,1,3,1,1
549,7,2,5,2,4,3,1,2,1,3
550,1,4,1,6,3,6,5,3,5,2
551,8,2,1,5,2,5,2,2,6,6
552,7,8,8,4,1,6,5,5,1,6
553,4,6,5,3,7,4,2,5,6,7
554,1,4,2,1,6,7,1,2,6,6
555,2,8,2,8,5,7,6,6,1,1
556,3,4,2,1,5,8,7,7,2,7
557,3,4,1,5,7,3,5,1,8,7
558,1,1,4,4,8,1,5,5,5,7
559,7,8,3,1,8,3,3,2,4,7
560,8,8,3,4,8,5,6,7,5,1
561,2,8,1,1,1,2,2,3,2,6
562,7,7,8,7,5,5,1,1,2,8
563,3,1,2,2,8,1,8,2,7,1
564,3,6,1,5,5,1,6,7,8,5
565,5,8,6,6,4,1,6,7,8,2
566,8,5,6,6,7,4,3,7,4,1
567,6,2,3,8,6,2,2,8,1,2
568,5,8,3,1,7,1,8,6,3,8
569,5,7,1,5,8,6,1,8,6,3
570,2,1,1,4,1,5,4,1,6,1
571,7,2,4,2,3,5,6,7,8,6
572,4,2,6,1,5,7,8,6,8,6
573,5,6,1,1,6,5,3,4,3,6
574,5,4,5,3,6,2,6,4,3,6
575,3,6,2,4,4,5,4,6,7,7
576,4,1,3,6,5,2,2,1,1,7
577,7,5,7,1,6,1,7,8,2,4
578,8,5,1,5,7,3,6,6,3,3
579,3,6,8,5,4,2,7,3,5,4
580,3,8,6,8,8,5,1,7,8,8
581,4,6,3,4,1,7,6,5,2,4
582,6,2,3,3,8,6,1,5,5,3
583,7,6,5,7,1,1,7,8,2,7
584,2,1,1,7,5,7,7,1,5,6
585,5,3,8,3,6,4,8,3,2,4
586,7,4,3,5,1,8,8,7,2,5
587,2,6,6,3,7,7,6,6,7,1
588,6,3,7,1,7,7,8,3,5,5
589,7,7,1,4,2,5,4,1,5,4
590,3,2,1,4,3,7,1,7,6,5
591,2,2,7,5,4,2,6,6,6,6
592,5,4,3,5,8,2,8,7,6,6
593,8,8,4,5,1,3,1,8,4,3
594,4,7,3,7,4,1,3,6,4,6
595,3,4,7,6,2,8,3,5,7,7
596,1,5,6,6,1,1,1,7,1,1
597,8,2,3,1,1,1,6,4,1,2
598,7,3,1,7,1,4,3,6,3,2
599,7,7,7,6,6,6,1,7,6,3
600,5,6,6,7,8,5,7,4,2,2
601,1,6,1,6,6,3,8,7,1,2
602,1,6,6,6,7,2,3,7,4,8
603,7,2,4,3,1,4,4,8,6,7
604,2,5,8,2,7,2,1,6,7,4
605,1,4,5,4,7,5,3,3,7,4
606,1,7,4,5,7,4,6,6,4,5
607,5,2,4,5,3,7,6,1,1,1
608,1,5,7,1,3,1,6,7,8,7
609,8,8,5,8,2,1,1,1,4,5
610,4,7,6,2,4,3,8,5,3,3
611,5,6,8,5,8,1,7,3,8,3
612,1,6,2,7,3,8,1,8,2,7
613,6,4,7,5,4,5,6,5,6,8
614,8,5,5,2,3,1,3,5,8,4
615,5,7,1,1,3,2,7,8,5,8
616,8,4,2,3,1,7,1,2,3,2
617,4,3,2,4,7,4,7,4,2,3
618,5,4,4,7,6,3,4,3,6,8
619,2,8,4,2,6,6,5,1,8,2
620,4,6,5,6,5,2,2,6,5,4
621,4,7,8,8,7,6,6,2,1,2
622,7,3,4,1,6,8,1,7,6,7
623,2,6,1,2,8,6,6,3,2,2
624,4,4,2,5,7,2,8,2,7,3
625,3,1,2,6,8,1,5,1,7,6
626,5,4,1,2,6,1,3,3,2,3
627,5,2,1,8,1,6,1,2,8,1
628,7,5,5,1,4,4,5,6,4,4
629,6,3,1,3,5,2,1,5,4,7
630,3,3,4,1,3,2,4,6,4,8
631,7,7,5,3,7,2,5,2,4,5
